place_id,canonical_name,qa_kind,qa_status,before_link_count,after_link_count,action,added_map_id,added_map_title,added_url
P315,아빌레네,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P315,Google Maps 검색: 아빌레네,https://www.google.com/maps/search/?api=1&query=%EC%95%84%EB%B9%8C%EB%A0%88%EB%84%A4
P144,아스글론,bmpi,no_label,4,1,added_google_fallback,GOOGLE-QA-REPAIR-P144,Google Maps 검색: 아스글론,https://www.google.com/maps/search/?api=1&query=%EC%95%84%EC%8A%A4%EA%B8%80%EB%A1%A0
P316,아스다롯,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P316,Google Maps 검색: 아스다롯,https://www.google.com/maps/search/?api=1&query=%EC%95%84%EC%8A%A4%EB%8B%A4%EB%A1%AF
P145,아스돗,bmpi,no_label,4,1,added_google_fallback,GOOGLE-QA-REPAIR-P145,Google Maps 검색: 아스돗,https://www.google.com/maps/search/?api=1&query=%EC%95%84%EC%8A%A4%EB%8F%97
P044,아얄론 골짜기,bmpi,map_error,1,1,removed_failed_links_kept_other_links,,,
P134,에그론,bmpi,no_label,5,1,added_google_fallback,GOOGLE-QA-REPAIR-P134,Google Maps 검색: 에그론,https://www.google.com/maps/search/?api=1&query=%EC%97%90%EA%B7%B8%EB%A1%A0
P329,에글론,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P329,Google Maps 검색: 에글론,https://www.google.com/maps/search/?api=1&query=%EC%97%90%EA%B8%80%EB%A1%A0
P330,에논,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P330,Google Maps 검색: 에논,https://www.google.com/maps/search/?api=1&query=%EC%97%90%EB%85%BC
P331,에델,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P331,Google Maps 검색: 에델,https://www.google.com/maps/search/?api=1&query=%EC%97%90%EB%8D%B8
P333,엔게디,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P333,Google Maps 검색: 엔게디,https://www.google.com/maps/search/?api=1&query=%EC%97%94%EA%B2%8C%EB%94%94
P359,엘라 골짜기,external,map_error,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P359,Google Maps 검색: 엘라 골짜기,https://www.google.com/maps/search/?api=1&query=%EC%97%98%EB%9D%BC%20%EA%B3%A8%EC%A7%9C%EA%B8%B0
P334,엘랏,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P334,Google Maps 검색: 엘랏,https://www.google.com/maps/search/?api=1&query=%EC%97%98%EB%9E%8F
